Time: ISBN: Retail-Price: Lowest-Used-Price: Lowest-New-Price: Sales-Rank 
2016/03/10:15:26:19 1137327537 2159 1786 2015 31375
2016/03/10:16:35:32 1137327537 2159 1786 2015 31375
2016/03/10:19:12:46 1137327537 2159 1754 2015 16457
2016/03/10:20:16:21 1137327537 2159 1754 2015 16460
2016/03/10:22:51:24 1137327537 2159 1733 2015 22440
2016/03/11:07:44:13 1137327537 2159 1733 2015 39278
2016/03/11:09:45:19 1137327537 2159 1733 2015 20277
2016/03/11:13:37:19 1137327537 2159 1786 2015 22364
2016/03/11:15:45:37 1137327537 2159 1786 2015 25726
2016/03/11:16:43:32 1137327537 2159 1786 2015 25726
2016/03/11:17:24:53 1137327537 2159 1754 2015 25726
2016/03/11:19:31:30 1137327537 2159 1754 2015 31090
2016/03/11:22:43:42 1137327537 2159 1754 2015 43681
2016/03/12:12:07:38 1137327537 2159 1768 2015 65695
2016/03/12:13:43:13 1137327537 2159 1768 2015 63480
2016/03/12:18:50:03 1137327537 2159 1768 2015 68682
2016/03/13:09:24:43 1137327537 2159 1768 2015 109252
2016/03/13:11:09:28 1137327537 2159 1768 2015 110465
2016/03/13:16:17:12 1137327537 2159 1768 2015 108149
2016/03/13:18:11:03 1137327537 2159 1768 2015 112548
2016/03/13:19:41:28 1137327537 2159 1768 2015 112590
2016/03/13:22:39:52 1137327537 2159 1768 2015 122945
2016/03/14:07:43:54 1137327537 2159 1768 2015 130819
2016/03/14:08:55:01 1137327537 2159 1768 2015 142802
2016/03/14:09:33:07 1137327537 2159 1787 2015 142802
2016/03/14:10:09:37 1137327537 2159 1786 2015 142802
2016/03/15:14:37:20 1137327537 2159 1787 2015 192138
2016/03/15:17:20:24 1137327537 2159 1766 2015 197971
2016/03/15:18:38:22 1137327537 2159 1754 2015 198085
2016/03/15:20:02:28 1137327537 2159 1754 2015 195933
2016/03/15:20:37:07 1137327537 2159 1754 2015 195933
2016/03/15:22:32:13 1137327537 2159 1733 2015 203980
2016/03/16:00:23:17 1137327537 2159 1733 2015 211098
2016/03/16:08:01:03 1137327537 2159 1733 2015 216047
2016/03/16:21:27:29 1137327537 2159 1754 2015 235219
2016/03/16:23:18:18 1137327537 2159 1733 2015 235423
2016/03/17:07:20:24 1137327537 2159 1733 2015 245120
2016/03/17:08:47:06 1137327537 2159 1733 2015 245120
2016/03/17:13:36:24 1137327537 2159 1768 2015 245836
2016/03/17:14:26:46 1137327537 2159 1768 2015 243002
2016/03/17:15:52:22 1137327537 2159 1768 2015 243235
2016/03/17:17:10:59 1137327537 2159 1768 2015 242516
2016/03/17:18:12:59 1137327537 2159 1768 2015 244251
2016/03/17:22:16:43 1137327537 2159 1768 2015 39127
2016/03/18:07:31:44 1137327537 2159 1768 2015 89109
2016/03/18:08:43:54 1137327537 2159 1768 2015 90031
2016/03/18:13:35:21 1137327537 2159 1768 2015 94530
2016/03/19:00:28:02 1137327537 2159 1754 2015 54309
2016/03/19:10:32:02 1137327537 2159 1733 2015 80755
2016/03/19:12:06:33 1137327537 2159 1733 2015 79689
2016/03/19:12:58:52 1137327537 2159 1768 2015 79939
2016/03/19:20:52:11 1137327537 2159 1754 2015 95794
2016/03/19:23:29:57 1137327537 2159 1754 2015 94270
2016/03/20:08:01:53 1137327537 2159 1733 2015 123153
2016/03/20:09:42:46 1137327537 2159 1733 2015 123153
2016/03/20:12:03:47 1137327537 2159 1768 2015 125629
2016/03/20:13:33:00 1137327537 2159 1768 2015 126404
2016/03/20:14:30:30 1137327537 2159 1768 2015 126498
2016/03/20:17:53:42 1137327537 2159 1787 2015 131751
2016/03/20:19:52:53 1137327537 2159 1786 2015 131767
2016/03/20:21:41:07 1137327537 2159 1766 2015 137782
2016/03/21:08:02:53 1137327537 2159 1766 2015 30301
2016/03/21:09:12:51 1137327537 2159 1766 2015 30301
2016/03/21:10:03:40 1137327537 2159 1787 2015 30831
2016/03/21:17:48:51 1137327537 2159 1766 2015 51334
2016/03/21:19:08:51 1137327537 2159 1766 2015 51362
2016/03/21:22:55:37 1137327537 2159 1787 2015 20710
2016/03/22:10:02:00 1137327537 2159 1786 2015 29039
2016/03/22:10:52:45 1137327537 2159 1786 2015 29044
2016/03/22:11:52:28 1137327537 2159 1786 2015 29044
2016/03/23:07:46:13 1137327537 2159 1733 2015 23821
2016/03/23:09:13:22 1137327537 2159 1733 2105 23826
2016/03/23:12:57:34 1137327537 2159 1811 2105 28969
2016/03/23:13:56:07 1137327537 2159 1811 2105 30818
